"87221";"671";""
"87222";"2324";""
"87223";"2558";""
"87224";"3188";""
"87225";"3766";""
"87226";"4889";""
"87227";"5062";""
"87228";"5807";""
"87229";"5873";""
"87230";"6547";""
"87231";"7284";""
"87232";"7366";""
"87233";"8565";""
"87234";"8778";""
"87235";"9144";""
"87236";"9484";""
"87237";"9991";""
"87238";"10199";""
"87239";"11421";""
"87240";"11784";""
"87241";"12933";""
"87242";"13498";""
"87243";"14121";""
"87244";"14273";""
"87245";"15082";""
"87246";"15087";""
"87247";"15182";""
"87248";"16302";""
"87249";"16386";""
"87250";"18652";""
"87251";"19121";""
"87252";"20094";""
"87253";"20152";""
"87254";"20492";""
"87255";"20608";""
"87256";"21219";""
"87257";"23584";""
"87258";"24057";""
"87259";"24068";""
"87260";"24713";""
"87261";"25000";""
"87262";"27064";""
"87263";"27253";""
"87264";"27625";""
"87265";"27936";""
"87266";"28400";""
"87267";"29073";""
"87268";"29542";""
"87269";"30332";""
"87270";"30382";""
"87271";"32069";""
"87272";"32187";""
"87273";"32324";""
"87274";"32455";""
"87275";"32591";""
"87276";"32632";""
"87277";"32770";""
"87278";"33521";""
"87279";"34881";""
"87280";"36202";""
"87281";"36302";""
"87282";"36327";""
"87283";"36544";""
"87284";"36784";""
"87285";"37244";""
"87286";"37565";""
"87287";"37917";""
"87288";"38763";""
"87289";"38782";""
"87290";"39565";""
"87291";"41403";""
"87292";"41704";""
"87293";"41976";""
"87294";"42196";""
"87295";"42406";""
"87296";"42960";""
"87297";"43206";""
"87298";"43382";""
"87299";"43390";""
"87300";"44365";""
"87301";"44407";""
"87302";"44473";""
"87303";"46010";""
"87304";"46264";""
"87305";"46628";""
"87306";"46715";""
"87307";"47370";""
"87308";"47408";""
"87309";"47490";""
"87310";"48636";""
"87311";"49458";""
"87312";"49473";""
"87313";"49644";""
"87314";"50292";""
"87315";"50415";""
"87316";"51502";""
"87317";"51549";""
"87318";"51693";""
"87319";"51890";""
"87320";"52336";""
"87321";"52509";""
"87322";"54827";""
"87323";"55273";""
"87324";"55634";""
"87325";"56112";""
"87326";"56684";""
"87327";"57541";""
"87328";"58472";""
"87329";"58751";""
"87330";"59253";""
"87331";"59367";""
"87332";"60650";""
"87333";"60672";""
"87334";"60709";""
"87335";"61654";""
"87336";"61923";""
"87337";"62437";""
"87338";"63189";""
"87339";"63190";""
"87340";"63432";""
"87341";"63497";""
"87342";"63929";""
"87343";"64036";""
"87344";"64157";""
"87345";"64182";""
"87346";"64210";""
"87347";"64938";""
"87348";"65667";""
"87349";"65786";""
"87350";"65794";""
"87351";"66317";""
"87352";"66456";""
"87353";"67529";""
"87354";"69202";""
"87355";"69480";""
"87356";"69784";""
"87357";"69957";""
"87358";"70471";""
"87359";"70506";""
"87360";"70560";""
"87361";"70952";""
"87362";"71275";""
"87363";"72309";""
"87364";"72450";""
"87365";"73278";""
"87366";"74187";""
"87367";"74276";""
"87368";"75217";""
"87369";"75950";""
"87370";"76071";""
"87371";"76126";""
"87372";"76398";""
"87373";"76775";""
"87374";"76821";""
"87375";"76827";""
"87376";"77431";""
"87377";"78067";""
"87378";"78125";""
"87379";"78410";""
"87380";"79008";""
"87381";"79566";""
"87382";"81368";""
"87383";"81914";""
"87384";"82344";""
"87385";"82655";""
"87386";"85336";""
"87387";"85965";""
"87388";"85974";""
"87389";"86045";""
"87390";"87488";""
"87391";"87882";""
"87392";"88325";""
"87393";"88852";""
"87394";"88905";""
"87395";"89429";""
"87396";"89458";""
"87397";"90228";""
"87398";"90724";""
"87399";"91890";""
"87400";"92099";""
"87401";"92101";""
"87402";"92418";""
"87403";"92672";""
"87404";"92902";""
"87405";"93481";""
"87406";"95296";""
"87407";"97059";""
"87408";"97413";""
"87409";"97925";""
"87410";"98687";""
"87411";"99211";""
"87412";"99867";""
"87413";"100752";""
"87414";"101123";""
"87415";"102356";""
"87416";"103100";""
"87417";"103341";""
"87418";"103893";""
"87419";"104006";""
"87420";"104032";""
"87421";"104238";""
"87422";"104259";""
"87423";"104888";""
"87424";"105133";""
"87425";"105829";""
"87426";"106389";""
"87427";"106570";""
"87428";"106622";""
"87429";"107238";""
"87430";"107481";""
"87431";"107513";""
"87432";"107684";""
"87433";"107813";""
"87434";"108488";""
"87435";"109609";""
"87436";"109826";""
"87437";"110359";""
"87438";"110467";""
"87439";"112476";""
"87440";"112561";""
"87441";"112902";""
"87442";"112955";""
"87443";"112978";""
"87444";"113094";""
"87445";"113342";""
"87446";"113400";""
"87447";"113838";""
"87448";"113870";""
"87449";"114354";""
"87450";"114527";""
"87451";"115393";""
"87452";"115702";""
"87453";"116089";""
"87454";"116237";""
"87455";"117695";""
"87456";"118833";""
"87457";"119622";""
"87458";"119893";""
"87459";"120784";""
"87460";"122103";""
"87461";"123424";""
"87462";"123640";""
"87463";"123667";""
"87464";"125104";""
"87465";"125134";""
"87466";"125298";""
"87467";"126441";""
"87468";"127553";""
"87469";"129096";""
"87470";"129459";""
"87471";"129529";""
"87472";"130364";""
"87473";"130610";""
"87474";"130794";""
"87475";"131993";""
"87476";"132701";""
"87477";"134308";""
"87478";"135199";""
"87479";"135342";""
"87480";"135532";""
"87481";"135637";""
"87482";"135818";""
"87483";"137204";""
"87484";"137346";""
"87485";"138393";""
"87486";"140720";""
"87487";"141152";""
"87488";"142125";""
"87489";"142753";""
"87490";"142904";""
"87491";"143689";""
"87492";"143694";""
"87493";"143729";""
"87494";"143876";""
"87495";"144277";""
"87496";"144755";""
"87497";"145430";""
"87498";"145838";""
"87499";"146013";""
"87500";"146044";""
"87501";"146265";""
"87502";"147666";""
"87503";"148790";""
"87504";"149035";""
"87505";"149626";""
"87506";"149796";""
"87507";"150059";""
"87508";"150064";""
"87509";"150532";""
"87510";"150808";""
"87511";"153664";""
"87512";"154797";""
"87513";"155154";""
"87514";"156888";""
"87515";"156942";""
"87516";"157016";""
"87517";"158249";""
"87518";"158795";""
"87519";"161526";""
"87520";"161717";""
"87521";"163007";""
"87522";"163108";""
"87523";"163539";""
"87524";"163663";""
"87525";"164752";""
"87526";"165082";""
"87527";"165150";""
"87528";"166212";""
"87529";"166216";""
"87530";"166700";""
"87531";"167186";""
"87532";"167259";""
"87533";"167622";""
"87534";"168307";""
"87535";"168340";""
"87536";"168438";""
"87537";"168854";""
"87538";"169500";""
"87539";"169551";""
"87540";"170070";""
"87541";"170721";""
"87542";"171555";""
"87543";"173734";""
"87544";"175002";""
"87545";"176188";""
"87546";"177453";""
"87547";"177518";""
"87548";"178252";""
"87549";"178298";""
"87550";"178411";""
"87551";"178622";""
"87552";"179010";""
"87553";"179559";""
"87554";"179571";""
"87555";"179763";""
"87556";"181137";""
"87557";"181384";""
"87558";"181580";""
"87559";"182470";""
"87560";"182572";""
"87561";"183085";""
"87562";"185412";""
"87563";"185602";""
"87564";"186186";""
"87565";"186583";""
"87566";"187131";""
"87567";"187521";""
"87568";"187719";""
"87569";"188020";""
"87570";"188043";""
"87571";"188312";""
"87572";"188352";""
"87573";"188379";""
"87574";"189394";""
"87575";"189596";""
"87576";"191434";""
"87577";"191724";""
"87578";"191897";""
"87579";"192843";""
"87580";"193963";""
"87581";"194177";""
"87582";"194225";""
"87583";"195648";""
"87584";"196034";""
"87585";"196518";""
"87586";"196949";""
"87587";"197066";""
"87588";"198098";""
"87589";"199509";""
